time,volume,open,high,low,close
2023-01-01T23:00:00.000000000Z,9,1.06999,1.07003,1.06962,1.06998
2023-01-01T23:15:00.000000000Z,4,1.06972,1.07005,1.06972,1.07000
2023-01-01T23:30:00.000000000Z,4,1.07000,1.07008,1.07000,1.07008
2023-01-01T23:45:00.000000000Z,8,1.07022,1.07062,1.07022,1.07057
2023-01-02T00:00:00.000000000Z,2,1.07048,1.07052,1.07048,1.07052
2023-01-02T00:15:00.000000000Z,13,1.07000,1.07004,1.06983,1.07000
2023-01-02T00:30:00.000000000Z,33,1.06996,1.07041,1.06937,1.07000
2023-01-02T00:45:00.000000000Z,28,1.06990,1.07089,1.06989,1.07072
2023-01-02T01:00:00.000000000Z,23,1.07082,1.07090,1.07064,1.07072
2023-01-02T01:15:00.000000000Z,2,1.07065,1.07069,1.07065,1.07069
2023-01-02T01:30:00.000000000Z,7,1.07056,1.07060,1.07028,1.07028
2023-01-02T01:45:00.000000000Z,41,1.07036,1.07052,1.06940,1.06985
2023-01-02T02:00:00.000000000Z,13,1.06981,1.06985,1.06900,1.06921
2023-01-02T02:15:00.000000000Z,12,1.06926,1.06960,1.06919,1.06952
2023-01-02T02:45:00.000000000Z,10,1.06929,1.06956,1.06929,1.06951
2023-01-02T03:00:00.000000000Z,3,1.06955,1.06956,1.06951,1.06956
2023-01-02T03:30:00.000000000Z,67,1.06952,1.07034,1.06952,1.06961
2023-01-02T03:45:00.000000000Z,13,1.06952,1.06965,1.06924,1.06958
2023-01-02T04:00:00.000000000Z,31,1.06953,1.07041,1.06947,1.07034
2023-01-02T04:15:00.000000000Z,6,1.07039,1.07039,1.07022,1.07035
2023-01-02T04:30:00.000000000Z,3,1.07019,1.07030,1.07018,1.07018
2023-01-02T04:45:00.000000000Z,4,1.07012,1.07024,1.07012,1.07024
2023-01-02T05:00:00.000000000Z,60,1.07017,1.07017,1.06891,1.06973
2023-01-02T05:15:00.000000000Z,21,1.06979,1.06982,1.06925,1.06933
2023-01-02T05:30:00.000000000Z,210,1.06939,1.06972,1.06936,1.06952
2023-01-02T05:45:00.000000000Z,145,1.06953,1.07008,1.06852,1.06968
2023-01-02T06:00:00.000000000Z,133,1.06981,1.07011,1.06939,1.06958
2023-01-02T06:15:00.000000000Z,49,1.06969,1.06969,1.06943,1.06945
2023-01-02T06:30:00.000000000Z,528,1.06943,1.06976,1.06927,1.06950
2023-01-02T06:45:00.000000000Z,82,1.06954,1.06954,1.06783,1.06922
2023-01-02T07:00:00.000000000Z,37,1.06917,1.06935,1.06848,1.06852
2023-01-02T07:15:00.000000000Z,62,1.06845,1.06874,1.06716,1.06810
2023-01-02T07:30:00.000000000Z,363,1.06821,1.06851,1.06794,1.06810
2023-01-02T07:45:00.000000000Z,1203,1.06814,1.06835,1.06636,1.06786
2023-01-02T08:00:00.000000000Z,644,1.06787,1.06813,1.06712,1.06756
2023-01-02T08:15:00.000000000Z,381,1.06756,1.06780,1.06734,1.06768
2023-01-02T08:30:00.000000000Z,482,1.06768,1.06876,1.06753,1.06807
2023-01-02T08:45:00.000000000Z,686,1.06804,1.06985,1.06789,1.06798
2023-01-02T09:00:00.000000000Z,597,1.06798,1.07001,1.06792,1.06870
2023-01-02T09:15:00.000000000Z,1320,1.06870,1.06872,1.06802,1.06843
2023-01-02T09:30:00.000000000Z,444,1.06842,1.06848,1.06820,1.06828
2023-01-02T09:45:00.000000000Z,803,1.06826,1.06842,1.06772,1.06791
2023-01-02T10:00:00.000000000Z,308,1.06788,1.06868,1.06784,1.06850
2023-01-02T10:15:00.000000000Z,402,1.06848,1.06898,1.06822,1.06824
2023-01-02T10:30:00.000000000Z,416,1.06824,1.06872,1.06750,1.06776
2023-01-02T10:45:00.000000000Z,323,1.06776,1.06841,1.06766,1.06841
2023-01-02T11:00:00.000000000Z,333,1.06841,1.06856,1.06804,1.06847
2023-01-02T11:15:00.000000000Z,231,1.06848,1.06848,1.06813,1.06821
2023-01-02T11:30:00.000000000Z,171,1.06822,1.06858,1.06818,1.06855
2023-01-02T11:45:00.000000000Z,339,1.06854,1.06866,1.06796,1.06848
2023-01-02T12:00:00.000000000Z,256,1.06848,1.06872,1.06771,1.06862
2023-01-02T12:15:00.000000000Z,364,1.06858,1.06869,1.06787,1.06844
2023-01-02T12:30:00.000000000Z,416,1.06861,1.06876,1.06784,1.06839
2023-01-02T12:45:00.000000000Z,427,1.06839,1.06864,1.06790,1.06824
2023-01-02T13:00:00.000000000Z,437,1.06826,1.06856,1.06778,1.06826
2023-01-02T13:15:00.000000000Z,567,1.06826,1.06865,1.06800,1.06846
2023-01-02T13:30:00.000000000Z,281,1.06846,1.06856,1.06824,1.06839
2023-01-02T13:45:00.000000000Z,512,1.06834,1.06834,1.06767,1.06790
2023-01-02T14:00:00.000000000Z,375,1.06790,1.06822,1.06788,1.06812
2023-01-02T14:15:00.000000000Z,336,1.06810,1.06822,1.06798,1.06810
2023-01-02T14:30:00.000000000Z,155,1.06811,1.06820,1.06796,1.06805
2023-01-02T14:45:00.000000000Z,485,1.06804,1.06804,1.06702,1.06726
2023-01-02T15:00:00.000000000Z,418,1.06724,1.06738,1.06699,1.06730
2023-01-02T15:15:00.000000000Z,427,1.06730,1.06732,1.06650,1.06664
2023-01-02T15:30:00.000000000Z,379,1.06664,1.06690,1.06659,1.06666
2023-01-02T15:45:00.000000000Z,473,1.06664,1.06681,1.06586,1.06606
2023-01-02T16:00:00.000000000Z,897,1.06604,1.06718,1.06594,1.06690
2023-01-02T16:15:00.000000000Z,1042,1.06690,1.06690,1.06533,1.06544
2023-01-02T16:30:00.000000000Z,432,1.06545,1.06558,1.06530,1.06544
2023-01-02T16:45:00.000000000Z,508,1.06542,1.06580,1.06516,1.06554
2023-01-02T17:00:00.000000000Z,598,1.06554,1.06621,1.06550,1.06598
2023-01-02T17:15:00.000000000Z,359,1.06604,1.06610,1.06588,1.06601
2023-01-02T17:30:00.000000000Z,285,1.06602,1.06612,1.06592,1.06604
2023-01-02T17:45:00.000000000Z,259,1.06604,1.06618,1.06596,1.06610
2023-01-02T18:00:00.000000000Z,396,1.06609,1.06614,1.06566,1.06568
2023-01-02T18:15:00.000000000Z,257,1.06568,1.06574,1.06526,1.06526
2023-01-02T18:30:00.000000000Z,143,1.06528,1.06560,1.06528,1.06531
2023-01-02T18:45:00.000000000Z,55,1.06530,1.06535,1.06527,1.06531
2023-01-02T19:00:00.000000000Z,257,1.06531,1.06534,1.06514,1.06524
2023-01-02T19:15:00.000000000Z,509,1.06522,1.06547,1.06504,1.06532
2023-01-02T19:30:00.000000000Z,186,1.06535,1.06540,1.06526,1.06535
2023-01-02T19:45:00.000000000Z,152,1.06536,1.06614,1.06528,1.06579
2023-01-02T20:00:00.000000000Z,200,1.06583,1.06641,1.06572,1.06601
2023-01-02T20:15:00.000000000Z,37,1.06607,1.06624,1.06594,1.06619
2023-01-02T20:30:00.000000000Z,134,1.06624,1.06710,1.06622,1.06641
2023-01-02T20:45:00.000000000Z,76,1.06651,1.06697,1.06639,1.06658
2023-01-02T21:00:00.000000000Z,43,1.06654,1.06744,1.06654,1.06695
2023-01-02T21:15:00.000000000Z,14,1.06699,1.06702,1.06678,1.06683
2023-01-02T21:30:00.000000000Z,8,1.06683,1.06683,1.06669,1.06675
2023-01-02T21:45:00.000000000Z,18,1.06670,1.06670,1.06616,1.06638
2023-01-02T22:00:00.000000000Z,72,1.06675,1.06689,1.06658,1.06662
2023-01-02T22:15:00.000000000Z,28,1.06664,1.06667,1.06662,1.06662
2023-01-02T22:30:00.000000000Z,39,1.06662,1.06663,1.06650,1.06650
2023-01-02T22:45:00.000000000Z,112,1.06656,1.06680,1.06650,1.06674
2023-01-02T23:00:00.000000000Z,1196,1.06680,1.06835,1.06634,1.06642
2023-01-02T23:15:00.000000000Z,1706,1.06640,1.06670,1.06502,1.06644
2023-01-02T23:30:00.000000000Z,882,1.06644,1.06744,1.06640,1.06710
2023-01-02T23:45:00.000000000Z,944,1.06709,1.06776,1.06688,1.06768
2023-01-03T00:00:00.000000000Z,1085,1.06768,1.06785,1.06720,1.06761
2023-01-03T00:15:00.000000000Z,917,1.06762,1.06762,1.06668,1.06688
2023-01-03T00:30:00.000000000Z,700,1.06686,1.06752,1.06682,1.06738
2023-01-03T00:45:00.000000000Z,745,1.06734,1.06746,1.06701,1.06706
2023-01-03T01:00:00.000000000Z,1886,1.06706,1.06710,1.06597,1.06689
2023-01-03T01:15:00.000000000Z,1872,1.06690,1.06744,1.06551,1.06562
2023-01-03T01:30:00.000000000Z,1672,1.06560,1.06600,1.06510,1.06526
2023-01-03T01:45:00.000000000Z,1183,1.06522,1.06600,1.06506,1.06600
2023-01-03T02:00:00.000000000Z,896,1.06598,1.06634,1.06578,1.06616
2023-01-03T02:15:00.000000000Z,868,1.06615,1.06678,1.06598,1.06666
2023-01-03T02:30:00.000000000Z,1110,1.06663,1.06737,1.06660,1.06736
2023-01-03T02:45:00.000000000Z,1368,1.06740,1.06779,1.06720,1.06767
2023-01-03T03:00:00.000000000Z,1213,1.06766,1.06788,1.06728,1.06730
2023-01-03T03:15:00.000000000Z,921,1.06731,1.06760,1.06688,1.06719
2023-01-03T03:30:00.000000000Z,861,1.06726,1.06762,1.06718,1.06756
2023-01-03T03:45:00.000000000Z,741,1.06760,1.06766,1.06711,1.06726
2023-01-03T04:00:00.000000000Z,692,1.06726,1.06796,1.06709,1.06780
2023-01-03T04:15:00.000000000Z,648,1.06781,1.06804,1.06756,1.06782
2023-01-03T04:30:00.000000000Z,598,1.06782,1.06803,1.06768,1.06777
2023-01-03T04:45:00.000000000Z,698,1.06778,1.06781,1.06670,1.06674
2023-01-03T05:00:00.000000000Z,876,1.06672,1.06709,1.06670,1.06680
2023-01-03T05:15:00.000000000Z,738,1.06677,1.06697,1.06598,1.06637
2023-01-03T05:30:00.000000000Z,960,1.06637,1.06652,1.06592,1.06650
2023-01-03T05:45:00.000000000Z,1141,1.06650,1.06660,1.06610,1.06636
2023-01-03T06:00:00.000000000Z,948,1.06636,1.06678,1.06626,1.06678
2023-01-03T06:15:00.000000000Z,892,1.06679,1.06679,1.06602,1.06630
2023-01-03T06:30:00.000000000Z,1403,1.06628,1.06632,1.06542,1.06565
2023-01-03T06:45:00.000000000Z,1072,1.06564,1.06584,1.06516,1.06524
2023-01-03T07:00:00.000000000Z,1589,1.06526,1.06572,1.06500,1.06522
2023-01-03T07:15:00.000000000Z,1667,1.06522,1.06573,1.06520,1.06570
2023-01-03T07:30:00.000000000Z,1483,1.06570,1.06588,1.06541,1.06542
2023-01-03T07:45:00.000000000Z,3069,1.06544,1.06554,1.06201,1.06238
2023-01-03T08:00:00.000000000Z,4391,1.06238,1.06284,1.05860,1.05880
2023-01-03T08:15:00.000000000Z,4150,1.05880,1.05898,1.05696,1.05763
2023-01-03T08:30:00.000000000Z,3572,1.05763,1.05799,1.05571,1.05682
2023-01-03T08:45:00.000000000Z,3138,1.05682,1.05712,1.05508,1.05518
2023-01-03T09:00:00.000000000Z,4155,1.05518,1.05544,1.05341,1.05446
2023-01-03T09:15:00.000000000Z,2994,1.05444,1.05484,1.05384,1.05482
2023-01-03T09:30:00.000000000Z,2444,1.05484,1.05610,1.05481,1.05542
