time,OBV
2006-10-11 21:00:00+00:00,36275
2006-10-12 21:00:00+00:00,19299
2006-10-13 21:00:00+00:00,19303
2006-10-14 21:00:00+00:00,19159
2006-10-15 21:00:00+00:00,36582
2006-10-16 21:00:00+00:00,55374
2006-10-17 21:00:00+00:00,38680
2006-10-18 21:00:00+00:00,57823
2006-10-19 21:00:00+00:00,73577
2006-10-20 21:00:00+00:00,73575
2006-10-21 21:00:00+00:00,73919
2006-10-22 21:00:00+00:00,57318
2006-10-23 21:00:00+00:00,43351
2006-10-24 21:00:00+00:00,59077
2006-10-25 21:00:00+00:00,76844
2006-10-26 21:00:00+00:00,93746
2006-10-27 21:00:00+00:00,93747
2006-10-28 21:00:00+00:00,93181
2006-10-29 22:00:00+00:00,108628
2006-10-30 22:00:00+00:00,125853
2006-10-31 22:00:00+00:00,141749
2006-11-01 22:00:00+00:00,125955
2006-11-02 22:00:00+00:00,110741
2006-11-04 22:00:00+00:00,111368
2006-11-05 22:00:00+00:00,98538
2006-11-06 22:00:00+00:00,115270
2006-11-07 22:00:00+00:00,98581
2006-11-08 22:00:00+00:00,78917
2006-11-09 22:00:00+00:00,98515
2006-11-10 22:00:00+00:00,98518
2006-11-11 22:00:00+00:00,97903
2006-11-12 22:00:00+00:00,80894
2006-11-13 22:00:00+00:00,59697
2006-11-14 22:00:00+00:00,39665
2006-11-15 22:00:00+00:00,21036
2006-11-16 22:00:00+00:00,40521
2006-11-17 22:00:00+00:00,40522
2006-11-18 22:00:00+00:00,39766
2006-11-19 22:00:00+00:00,54526
2006-11-20 22:00:00+00:00,70115
2006-11-21 22:00:00+00:00,89107
2006-11-22 22:00:00+00:00,102369
2006-11-23 22:00:00+00:00,121096
2006-11-25 22:00:00+00:00,122926
2006-11-26 22:00:00+00:00,102464
2006-11-27 22:00:00+00:00,127352
2006-11-28 22:00:00+00:00,102943
2006-11-29 22:00:00+00:00,128391
2006-11-30 22:00:00+00:00,153371
2006-12-01 22:00:00+00:00,153372
2006-12-02 22:00:00+00:00,152471
2006-12-03 22:00:00+00:00,174339
2006-12-04 22:00:00+00:00,150695
2006-12-05 22:00:00+00:00,128956
2006-12-06 22:00:00+00:00,107349
2006-12-07 22:00:00+00:00,80392
2006-12-08 22:00:00+00:00,80391
2006-12-09 22:00:00+00:00,79289
2006-12-10 22:00:00+00:00,103029
2006-12-11 22:00:00+00:00,127048
2006-12-12 22:00:00+00:00,106338
2006-12-13 22:00:00+00:00,82722
2006-12-14 22:00:00+00:00,56971
2006-12-16 22:00:00+00:00,57364
2006-12-17 22:00:00+00:00,38105
2006-12-18 22:00:00+00:00,62263
2006-12-19 22:00:00+00:00,37824
2006-12-20 22:00:00+00:00,13811
2006-12-21 22:00:00+00:00,-8860
2006-12-24 22:00:00+00:00,-4785
2006-12-25 22:00:00+00:00,-13949
2006-12-26 22:00:00+00:00,5009
2006-12-27 22:00:00+00:00,25482
2006-12-28 22:00:00+00:00,6163
2006-12-31 22:00:00+00:00,6228
2007-01-01 22:00:00+00:00,23981
2007-01-02 22:00:00+00:00,1049
2007-01-03 22:00:00+00:00,-22637
2007-01-04 22:00:00+00:00,-47976
2007-01-06 22:00:00+00:00,-47876
2007-01-07 22:00:00+00:00,-28982
2007-01-08 22:00:00+00:00,-9051
2007-01-09 22:00:00+00:00,-32384
2007-01-10 22:00:00+00:00,-6840
2007-01-11 22:00:00+00:00,17641
2007-01-13 22:00:00+00:00,17747
2007-01-14 22:00:00+00:00,33843
2007-01-15 22:00:00+00:00,11942
2007-01-16 22:00:00+00:00,36836
2007-01-17 22:00:00+00:00,66288
2007-01-18 22:00:00+00:00,41771
2007-01-20 22:00:00+00:00,41815
2007-01-21 22:00:00+00:00,60853
2007-01-22 22:00:00+00:00,85758
2007-01-23 22:00:00+00:00,55944
2007-01-24 22:00:00+00:00,27788
2007-01-25 22:00:00+00:00,1509
2007-01-26 22:00:00+00:00,1508
2007-01-27 22:00:00+00:00,1774
2007-01-28 22:00:00+00:00,17677
2007-01-29 22:00:00+00:00,40373
2007-01-30 22:00:00+00:00,70973
2007-01-31 22:00:00+00:00,96561
2007-02-01 22:00:00+00:00,72474
2007-02-03 22:00:00+00:00,72597
2007-02-04 22:00:00+00:00,48865
2007-02-05 22:00:00+00:00,72583
2007-02-06 22:00:00+00:00,51838
2007-02-07 22:00:00+00:00,25643
2007-02-08 22:00:00+00:00,4068
2007-02-10 22:00:00+00:00,3920
2007-02-11 22:00:00+00:00,-15016
2007-02-12 22:00:00+00:00,-39714
2007-02-13 22:00:00+00:00,-12392
2007-02-14 22:00:00+00:00,-40942
2007-02-15 22:00:00+00:00,-64184
2007-02-17 22:00:00+00:00,-63570
2007-02-18 22:00:00+00:00,-78107
2007-02-19 22:00:00+00:00,-58209
2007-02-20 22:00:00+00:00,-79784
2007-02-21 22:00:00+00:00,-62069
2007-02-22 22:00:00+00:00,-42290
2007-02-24 22:00:00+00:00,-42268
2007-02-25 22:00:00+00:00,-55702
2007-02-26 22:00:00+00:00,-76688
2007-02-27 22:00:00+00:00,-53159
2007-02-28 22:00:00+00:00,-76610
2007-03-01 22:00:00+00:00,-104032
2007-03-02 22:00:00+00:00,-104034
2007-03-03 22:00:00+00:00,-103955
2007-03-04 22:00:00+00:00,-138332
2007-03-05 22:00:00+00:00,-111521
2007-03-06 22:00:00+00:00,-88410
2007-03-07 22:00:00+00:00,-112348
2007-03-08 22:00:00+00:00,-91966
2007-03-10 22:00:00+00:00,-91753
2007-03-11 21:00:00+00:00,-109732
2007-03-12 21:00:00+00:00,-127907
2007-03-13 21:00:00+00:00,-107682
2007-03-14 21:00:00+00:00,-89277
2007-03-15 21:00:00+00:00,-71314
2007-03-17 21:00:00+00:00,-71561
2007-03-18 21:00:00+00:00,-57596
2007-03-19 21:00:00+00:00,-40423
2007-03-20 21:00:00+00:00,-22550
2007-03-21 21:00:00+00:00,-41862
2007-03-22 21:00:00+00:00,-59760
2007-03-24 21:00:00+00:00,-60049
2007-03-25 21:00:00+00:00,-39723
2007-03-26 21:00:00+00:00,-59285
2007-03-27 21:00:00+00:00,-83534
2007-03-28 21:00:00+00:00,-64210
2007-03-29 21:00:00+00:00,-39615
