time,ADX
2006-09-26 21:00:00+00:00,48.68822744048127
2006-09-27 21:00:00+00:00,46.61887395159986
2006-09-28 21:00:00+00:00,44.29676500950084
2006-09-29 21:00:00+00:00,42.230563063914225
2006-09-30 21:00:00+00:00,40.8196824878295
2006-10-01 21:00:00+00:00,39.04059820198943
2006-10-02 21:00:00+00:00,37.53747837909358
2006-10-03 21:00:00+00:00,36.887336307907
2006-10-04 21:00:00+00:00,37.776149016349784
2006-10-05 21:00:00+00:00,37.82547966940161
2006-10-07 21:00:00+00:00,36.407301980130754
2006-10-08 21:00:00+00:00,33.49052336731301
2006-10-09 21:00:00+00:00,32.31752864900998
2006-10-10 21:00:00+00:00,31.167404434636946
2006-10-11 21:00:00+00:00,31.219538112201196
2006-10-12 21:00:00+00:00,32.176327387016705
2006-10-13 21:00:00+00:00,34.086472143227596
2006-10-14 21:00:00+00:00,34.46517571045566
2006-10-15 21:00:00+00:00,34.234737830106056
2006-10-16 21:00:00+00:00,34.56257296432272
2006-10-17 21:00:00+00:00,35.28059663157361
2006-10-18 21:00:00+00:00,35.17271956004511
2006-10-19 21:00:00+00:00,35.54723384991146
2006-10-20 21:00:00+00:00,35.321370227195565
2006-10-21 21:00:00+00:00,34.11137239965457
2006-10-22 21:00:00+00:00,31.395034554405875
2006-10-23 21:00:00+00:00,28.899786432086717
2006-10-24 21:00:00+00:00,27.01584917813352
2006-10-25 21:00:00+00:00,26.49650266039016
2006-10-26 21:00:00+00:00,27.39657313617604
2006-10-27 21:00:00+00:00,28.7553128745071
2006-10-28 21:00:00+00:00,30.64951770514976
2006-10-29 22:00:00+00:00,33.01314326811437
2006-10-30 22:00:00+00:00,34.852274240249656
2006-10-31 22:00:00+00:00,36.66157729850302
2006-11-01 22:00:00+00:00,38.47762640677413
2006-11-02 22:00:00+00:00,37.705877097980135
2006-11-04 22:00:00+00:00,36.473215367586306
2006-11-05 22:00:00+00:00,35.251751117049096
2006-11-06 22:00:00+00:00,38.013408224254114
2006-11-07 22:00:00+00:00,39.30415017645693
2006-11-08 22:00:00+00:00,39.29420643021911
2006-11-09 22:00:00+00:00,38.35860561821835
2006-11-10 22:00:00+00:00,37.692455754546685
2006-11-11 22:00:00+00:00,37.37680062216255
2006-11-12 22:00:00+00:00,36.040560009107296
2006-11-13 22:00:00+00:00,33.13339445073219
2006-11-14 22:00:00+00:00,32.269854630389446
2006-11-15 22:00:00+00:00,31.713277440930394
2006-11-16 22:00:00+00:00,31.027207515607085
2006-11-17 22:00:00+00:00,31.295863967616985
2006-11-18 22:00:00+00:00,31.09893124428365
2006-11-19 22:00:00+00:00,30.316279185883726
2006-11-20 22:00:00+00:00,28.23387590037842
2006-11-21 22:00:00+00:00,25.728453711917087
2006-11-22 22:00:00+00:00,24.565721679900374
2006-11-23 22:00:00+00:00,24.39942513849555
2006-11-25 22:00:00+00:00,23.68307855504675
2006-11-26 22:00:00+00:00,23.073822809355768
2006-11-27 22:00:00+00:00,25.43127277316406
2006-11-28 22:00:00+00:00,30.706580204721938
2006-11-29 22:00:00+00:00,35.885686669866075
2006-11-30 22:00:00+00:00,40.30536058738902
2006-12-01 22:00:00+00:00,45.57266954632096
2006-12-02 22:00:00+00:00,50.58420037540402
2006-12-03 22:00:00+00:00,54.818273183639015
2006-12-04 22:00:00+00:00,59.671191724775085
2006-12-05 22:00:00+00:00,62.28710838858895
2006-12-06 22:00:00+00:00,64.6098040987941
2006-12-07 22:00:00+00:00,65.2788401327443
2006-12-08 22:00:00+00:00,64.49430349462587
2006-12-09 22:00:00+00:00,62.234515177965584
2006-12-10 22:00:00+00:00,60.678876658222364
2006-12-11 22:00:00+00:00,57.875974702616695
2006-12-12 22:00:00+00:00,53.882262585544666
2006-12-13 22:00:00+00:00,47.15871940586958
2006-12-14 22:00:00+00:00,43.64897812849929
2006-12-16 22:00:00+00:00,39.44497163056287
2006-12-17 22:00:00+00:00,36.132111000350896
2006-12-18 22:00:00+00:00,31.357189816887978
2006-12-19 22:00:00+00:00,26.457291005815456
2006-12-20 22:00:00+00:00,22.340309937099395
2006-12-21 22:00:00+00:00,18.903703532941226
2006-12-24 22:00:00+00:00,17.832831295729815
2006-12-25 22:00:00+00:00,16.419494404073312
2006-12-26 22:00:00+00:00,17.130713730228106
2006-12-27 22:00:00+00:00,17.148775472586326
2006-12-28 22:00:00+00:00,16.292653290203294
2006-12-31 22:00:00+00:00,15.410635682439985
2007-01-01 22:00:00+00:00,16.643121674051393
2007-01-02 22:00:00+00:00,14.530185487862068
2007-01-03 22:00:00+00:00,12.046470039078232
2007-01-04 22:00:00+00:00,9.574674504471762
2007-01-06 22:00:00+00:00,10.264608274445042
2007-01-07 22:00:00+00:00,11.086407452345187
2007-01-08 22:00:00+00:00,11.260326469560368
2007-01-09 22:00:00+00:00,11.41780094032576
2007-01-10 22:00:00+00:00,10.655117328763222
2007-01-11 22:00:00+00:00,11.856689081806191
2007-01-13 22:00:00+00:00,12.256978516201887
2007-01-14 22:00:00+00:00,12.827570570105182
2007-01-15 22:00:00+00:00,14.188298202385951
2007-01-16 22:00:00+00:00,15.492363318194338
2007-01-17 22:00:00+00:00,15.125062970831896
2007-01-18 22:00:00+00:00,16.240193623407247
2007-01-20 22:00:00+00:00,19.531055258058366
2007-01-21 22:00:00+00:00,25.49772239967198
2007-01-22 22:00:00+00:00,29.902095903484764
2007-01-23 22:00:00+00:00,32.798257646477175
2007-01-24 22:00:00+00:00,35.77514034642358
2007-01-25 22:00:00+00:00,38.554833138657735
2007-01-26 22:00:00+00:00,40.81661188330321
2007-01-27 22:00:00+00:00,41.57381698228727
2007-01-28 22:00:00+00:00,41.80758981719533
2007-01-29 22:00:00+00:00,42.00203428704723
2007-01-30 22:00:00+00:00,40.381612989140365
2007-01-31 22:00:00+00:00,38.90316643332154
2007-02-01 22:00:00+00:00,37.80089123350579
2007-02-03 22:00:00+00:00,35.62685922775657
2007-02-04 22:00:00+00:00,32.915048495262866
2007-02-05 22:00:00+00:00,27.20097047822045
2007-02-06 22:00:00+00:00,23.30106826210124
2007-02-07 22:00:00+00:00,21.73766505415008
2007-02-08 22:00:00+00:00,21.18021744998105
2007-02-10 22:00:00+00:00,20.141959652003237
2007-02-11 22:00:00+00:00,18.597317163246373
2007-02-12 22:00:00+00:00,17.960266821233006
2007-02-13 22:00:00+00:00,16.549729139612655
2007-02-14 22:00:00+00:00,15.41608153125625
2007-02-15 22:00:00+00:00,15.199265971160136
2007-02-17 22:00:00+00:00,15.525329358940192
2007-02-18 22:00:00+00:00,16.73465252992993
2007-02-19 22:00:00+00:00,17.875878817237464
2007-02-20 22:00:00+00:00,17.2511686294113
2007-02-21 22:00:00+00:00,17.60032380909395
2007-02-22 22:00:00+00:00,16.070192369927724
2007-02-24 22:00:00+00:00,14.800753663629228
2007-02-25 22:00:00+00:00,14.087760352017364
2007-02-26 22:00:00+00:00,13.336716359081915
2007-02-27 22:00:00+00:00,12.68806237868796
2007-02-28 22:00:00+00:00,11.119084248962192
2007-03-01 22:00:00+00:00,14.561733775470334
2007-03-02 22:00:00+00:00,18.330722388916605
2007-03-03 22:00:00+00:00,22.187399556986357
2007-03-04 22:00:00+00:00,26.776054865136533
2007-03-05 22:00:00+00:00,30.441229142506952
2007-03-06 22:00:00+00:00,33.67803418143461
2007-03-07 22:00:00+00:00,38.51432640276981
2007-03-08 22:00:00+00:00,42.422883953377834
2007-03-10 22:00:00+00:00,47.159686750092426
2007-03-11 21:00:00+00:00,51.55954961463181
2007-03-12 21:00:00+00:00,54.82003974988903
2007-03-13 21:00:00+00:00,58.86424116251147
2007-03-14 21:00:00+00:00,62.8775754092407
2007-03-15 21:00:00+00:00,65.79438966904483
2007-03-17 21:00:00+00:00,63.914904894494136
2007-03-18 21:00:00+00:00,60.714016393949024
2007-03-19 21:00:00+00:00,57.129518816188344
2007-03-20 21:00:00+00:00,56.14271628073867
2007-03-21 21:00:00+00:00,55.441093542920385
2007-03-22 21:00:00+00:00,54.5457699816481
2007-03-24 21:00:00+00:00,53.60611878046516
2007-03-25 21:00:00+00:00,53.312044444324606
2007-03-26 21:00:00+00:00,52.4541169407376
2007-03-27 21:00:00+00:00,53.122244537997666
2007-03-28 21:00:00+00:00,53.86465963270773
2007-03-29 21:00:00+00:00,54.341902522186764
2007-03-31 21:00:00+00:00,55.342484962917986
2007-04-01 21:00:00+00:00,58.00472309160981
2007-04-02 21:00:00+00:00,61.32821039240996
2007-04-03 21:00:00+00:00,64.74723292075052
2007-04-04 21:00:00+00:00,66.94201976708284
2007-04-05 21:00:00+00:00,63.60292357087974
2007-04-06 21:00:00+00:00,60.02027007719441
2007-04-07 21:00:00+00:00,57.85104844817046
2007-04-08 21:00:00+00:00,53.95823404584032
2007-04-09 21:00:00+00:00,49.70683897011596
2007-04-10 21:00:00+00:00,46.25073215560495
2007-04-11 21:00:00+00:00,41.49373606105654
2007-04-12 21:00:00+00:00,37.31876063961215
2007-04-14 21:00:00+00:00,34.355770678130774
2007-04-15 21:00:00+00:00,32.193558370453516
2007-04-16 21:00:00+00:00,30.244024605197524
2007-04-17 21:00:00+00:00,29.064830823155578
2007-04-18 21:00:00+00:00,28.1227930157542
2007-04-19 21:00:00+00:00,30.265184164394213
2007-04-21 21:00:00+00:00,34.65346544126748
2007-04-22 21:00:00+00:00,37.86390247547432
2007-04-23 21:00:00+00:00,39.902609122343414
