time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2006-06-04 21:00:00+00:00,24874,2.5061,2.51565,2.495,2.50245,GBP_AUD,D,,0.0,0.0,0.0,,,,,-24874
2006-06-05 21:00:00+00:00,28526,2.50255,2.51735,2.49685,2.51255,GBP_AUD,D,,0.0008056980056982965,0.00016113960113965932,0.0006445584045586372,,,,,3652
2006-06-06 21:00:00+00:00,26707,2.51265,2.51605,2.50185,2.50385,GBP_AUD,D,,0.0007337440442856114,0.00027566048976884977,0.0004580835545167616,,,,,-23055
2006-06-07 21:00:00+00:00,32433,2.50395,2.50575,2.47005,2.48575,GBP_AUD,D,,-0.0007748665413718214,6.555508354071554e-05,-0.0008404216249125369,,,,,-55488
2006-06-08 21:00:00+00:00,28217,2.48565,2.48685,2.4556,2.4602,GBP_AUD,D,,-0.003986172652170605,-0.0007447904636015486,-0.0032413821885690568,,,,,-83705
2006-06-10 21:00:00+00:00,114,2.4615,2.4639,2.46,2.4612,GBP_AUD,D,,-0.0063769546745664485,-0.0018712233057945286,-0.00450573136877192,,,,,-83591
2006-06-11 21:00:00+00:00,22008,2.4612,2.4717,2.456,2.4691,GBP_AUD,D,,-0.0075472032143397705,-0.003006419287503577,-0.004540783926836193,,,,,-61583
2006-06-12 21:00:00+00:00,33429,2.4691,2.49225,2.46335,2.48575,GBP_AUD,D,,-0.007049851463856616,-0.003815105722774185,-0.0032347457410824305,,,,,-28154
2006-06-13 21:00:00+00:00,29279,2.48565,2.50645,2.48165,2.49985,GBP_AUD,D,,-0.005455061899074742,-0.004143096958034297,-0.0013119649410404458,,,,,1125
2006-06-14 21:00:00+00:00,27380,2.49985,2.50935,2.48895,2.49035,GBP_AUD,D,,-0.004901251705595744,-0.004294727907546586,-0.0006065237980491574,,,,,-26255
2006-06-15 21:00:00+00:00,27135,2.49025,2.50935,2.48825,2.5077,GBP_AUD,D,,-0.003027454526025153,-0.0040412732312423,0.0010138187052171474,,,,,880
2006-06-17 21:00:00+00:00,335,2.506,2.5077,2.5048,2.5069,GBP_AUD,D,,-0.001588696570224979,-0.0035507578990388363,0.0019620613288138574,,,,,545
2006-06-18 21:00:00+00:00,24606,2.5069,2.5127,2.49085,2.50025,GBP_AUD,D,,-0.0009738440798372494,-0.0030353751351985194,0.00206153105536127,,,,,-24061
2006-06-19 21:00:00+00:00,25829,2.50025,2.50035,2.48945,2.49725,GBP_AUD,D,48.13486370157823,-0.0007203403442930245,-0.0025723681770174205,0.001852027832724396,,,,,-49890
2006-06-20 21:00:00+00:00,24156,2.49725,2.51145,2.49225,2.49375,GBP_AUD,D,46.95591322603214,-0.000792719578903256,-0.0022164384573945877,0.0014237188784913318,,,0.019378571428571405,,-74046
2006-06-21 21:00:00+00:00,28225,2.49385,2.49865,2.48535,2.49155,GBP_AUD,D,42.22222222222224,-0.0010158916905904647,-0.001976329104033763,0.0009604374134432984,,,0.018864285714285684,,-102271
2006-06-22 21:00:00+00:00,27316,2.49155,2.49695,2.48025,2.4837,GBP_AUD,D,42.48975027953779,-0.00180537534857228,-0.0019421383529414666,0.00013676300436918647,,,0.01904285714285714,,-129587
2006-06-24 21:00:00+00:00,524,2.483,2.4879,2.483,2.4878,GBP_AUD,D,50.853100291302574,-0.0020762770709388256,-0.0019689660965409384,-0.00010731097439788725,,,0.016842857142857128,,-129063
2006-06-25 21:00:00+00:00,26740,2.4878,2.49345,2.47895,2.48955,GBP_AUD,D,65.2309289050337,-0.0021252595933525242,-0.0020002247959032557,-0.0001250347974492685,,,0.015646428571428554,,-102323
