time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2008-06-07 21:00:00+00:00,222,5.9993,6.0046,5.9928,6.0003,NZD_HKD,D,,0.0,0.0,0.0,,,,,-222
2008-06-08 21:00:00+00:00,7948,6.0006,6.0159,5.9151,5.92695,NZD_HKD,D,,-0.005851282051281714,-0.001170256410256343,-0.004681025641025372,,,,,-8170
2008-06-09 21:00:00+00:00,9238,5.92665,5.93715,5.8591,5.87905,NZD_HKD,D,,-0.01419002118489221,-0.0037742093651835164,-0.010415811819708694,,,,,-17408
2008-06-10 21:00:00+00:00,8123,5.87895,5.919,5.87225,5.89945,NZD_HKD,D,,-0.01893416129031511,-0.006806199750209836,-0.012127961540105274,,,,,-9285
2008-06-11 21:00:00+00:00,8819,5.89935,5.90965,5.8424,5.85985,NZD_HKD,D,,-0.025594280617466048,-0.010563815923661079,-0.015030464693804969,,,,,-18104
2008-06-12 21:00:00+00:00,8132,5.85945,5.88915,5.8202,5.8578,NZD_HKD,D,,-0.030684182875290844,-0.014587889313987032,-0.016096293561303814,,,,,-26236
2008-06-13 21:00:00+00:00,2,5.8572,5.8572,5.8572,5.8572,NZD_HKD,D,,-0.034370183984695046,-0.018544348248128638,-0.01582583573656641,,,,,-26238
2008-06-14 21:00:00+00:00,349,5.8572,5.8883,5.8572,5.8672,NZD_HKD,D,,-0.036068672785684264,-0.022049213155639763,-0.0140194596300445,,,,,-25889
2008-06-15 21:00:00+00:00,7793,5.8672,5.8927,5.8491,5.88445,NZD_HKD,D,,-0.03561229024759083,-0.024761828574029976,-0.010850461673560852,,,,,-18096
2008-06-16 21:00:00+00:00,8462,5.88375,5.9126,5.867,5.89805,NZD_HKD,D,,-0.033763987230593706,-0.026562260305342724,-0.007201726925250982,,,,,-9634
2008-06-17 21:00:00+00:00,8448,5.89775,5.9297,5.8807,5.92425,NZD_HKD,D,,-0.029841083302968308,-0.02721802490486784,-0.002623058398100467,,,,,-1186
2008-06-18 21:00:00+00:00,7677,5.92505,5.95905,5.9095,5.95375,NZD_HKD,D,,-0.024074237396105147,-0.026589267403115305,0.0025150300070101578,,,,,6491
2008-06-19 21:00:00+00:00,7565,5.95375,5.969,5.93465,5.9396,NZD_HKD,D,,-0.020410477926100512,-0.025353509507712348,0.004943031581611836,,,,,-1074
2008-06-20 21:00:00+00:00,1,5.9378,5.9378,5.9378,5.9378,NZD_HKD,D,39.45681511470986,-0.017451002809417915,-0.023773008168053462,0.006322005358635547,,,,,-1075
2008-06-21 21:00:00+00:00,129,5.9419,5.9419,5.9384,5.9392,NZD_HKD,D,39.74143720617853,-0.014821772985128767,-0.021982761131468524,0.007160988146339756,,,0.04439285714285728,,-946
2008-06-22 21:00:00+00:00,5636,5.9396,5.9599,5.9012,5.91725,NZD_HKD,D,48.031655844155914,-0.01434392314575561,-0.020454993534325942,0.006111070388570332,,,0.041385714285714394,,-6582
2008-06-23 21:00:00+00:00,6567,5.91815,5.9317,5.8976,5.91815,NZD_HKD,D,59.804413239719075,-0.013734280985040925,-0.019110851024468942,0.005376570039428017,,,0.038246428571428695,,-15
2008-06-24 21:00:00+00:00,7947,5.91735,5.93665,5.8914,5.93515,NZD_HKD,D,59.10714285714295,-0.011743999736788524,-0.01763748076693286,0.0058934810301443374,,,0.038139285714285896,,7932
2008-06-25 21:00:00+00:00,8897,5.93535,5.93675,5.8881,5.88985,NZD_HKD,D,57.436787307883066,-0.013664503035317743,-0.016842885220609838,0.0031783821852920946,,,0.03681071428571446,,-965
