PRICE,2023-05-19T03:02:28.423003013Z,"[{'price': '1.07706', 'liquidity': 10000000}]","[{'price': '1.07719', 'liquidity': 10000000}]",1.07706,1.07719,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:29.456503871Z,"[{'price': '1.07706', 'liquidity': 10000000}]","[{'price': '1.07718', 'liquidity': 10000000}]",1.07706,1.07718,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:29.690853389Z,"[{'price': '1.07702', 'liquidity': 10000000}]","[{'price': '1.07717', 'liquidity': 10000000}]",1.07702,1.07717,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:29.848804497Z,"[{'price': '1.07701', 'liquidity': 10000000}]","[{'price': '1.07715', 'liquidity': 10000000}]",1.07701,1.07715,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:31.786269138Z,"[{'price': '1.07699', 'liquidity': 10000000}]","[{'price': '1.07715', 'liquidity': 10000000}]",1.07699,1.07715,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:32.005672922Z,"[{'price': '1.07700', 'liquidity': 10000000}]","[{'price': '1.07714', 'liquidity': 10000000}]",1.07700,1.07714,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:33.718071280Z,"[{'price': '1.07699', 'liquidity': 10000000}]","[{'price': '1.07714', 'liquidity': 10000000}]",1.07699,1.07714,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:36.815153716Z,"[{'price': '1.07699', 'liquidity': 10000000}]","[{'price': '1.07712', 'liquidity': 10000000}]",1.07699,1.07712,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:37.574469996Z,"[{'price': '1.07698', 'liquidity': 10000000}]","[{'price': '1.07713', 'liquidity': 10000000}]",1.07698,1.07713,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:41.374994481Z,"[{'price': '1.07698', 'liquidity': 10000000}]","[{'price': '1.07714', 'liquidity': 10000000}]",1.07698,1.07714,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:43.175579419Z,"[{'price': '1.07700', 'liquidity': 10000000}]","[{'price': '1.07714', 'liquidity': 10000000}]",1.07700,1.07714,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:43.255478226Z,"[{'price': '1.07701', 'liquidity': 10000000}]","[{'price': '1.07716', 'liquidity': 10000000}]",1.07701,1.07716,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:50.866321643Z,"[{'price': '1.07700', 'liquidity': 10000000}]","[{'price': '1.07714', 'liquidity': 10000000}]",1.07700,1.07714,tradeable,True,EUR_USD
PRICE,2023-05-19T03:02:51.287568258Z,"[{'price': '1.07699', 'liquidity': 10000000}]","[{'price': '1.07713', 'liquidity': 10000000}]",1.07699,1.07713,tradeable,True,EUR_USD
